time,xPos,yPos,yaw,xVel,yVel,yawRate,xAccel,yAccel,yawAccel
0,204.15,239,0,0,0,0,98.922,14.646,0
0.04,204.23,239.01,0.65217,3.9569,0.58583,16.304,98.922,14.646,0
0.08,204.47,239.05,1.3043,7.9137,1.1717,16.304,98.922,14.646,0
0.12,204.86,239.11,1.9565,11.871,1.7575,16.304,98.922,14.646,0
0.16,205.42,239.19,2.6087,15.827,2.3433,16.304,98.922,14.646,0
0.2,206.13,239.29,3.2609,19.784,2.9292,16.304,98.922,14.646,0
0.24,207,239.42,3.913,23.741,3.515,16.304,98.922,14.646,0
0.28,208.03,239.57,4.5652,27.698,4.1008,16.304,98.922,14.646,0
0.32,209.21,239.75,5.2174,31.655,4.6866,16.304,98.922,14.646,0
0.36,210.56,239.95,5.8696,35.612,5.2725,16.304,98.922,14.646,0
0.4,212.06,240.17,6.5217,39.569,5.8583,16.304,98.922,14.646,0
0.44,213.73,240.42,7.1739,43.526,6.4441,16.304,98.922,14.646,0
0.48,215.55,240.69,7.8261,47.482,7.03,16.304,98.922,14.646,0
0.52,217.52,240.98,8.4783,51.439,7.6158,16.304,98.922,14.646,0
0.56,219.66,241.3,9.1304,55.396,8.2016,16.304,98.922,14.646,0
0.6,221.96,241.64,9.7826,59.353,8.7875,16.304,98.922,14.646,0
0.64,224.41,242,10.435,63.31,9.3733,16.304,98.922,14.646,0
0.68,227.02,242.39,11.087,67.267,9.9591,16.304,98.922,14.646,0
0.72,229.79,242.8,11.739,71.224,10.545,16.304,98.922,14.646,0
0.76,232.72,243.23,12.391,75.18,11.131,16.304,98.922,14.646,0
0.8,235.8,243.69,13.043,79.137,11.717,16.304,98.922,14.646,0
0.84,239.03,244.26,13.696,81.458,20.509,16.304,96.974,24.416,0
0.88,242.25,245.45,14.348,78.279,40.204,16.304,88.954,45.686,0
0.92,245.25,247.37,15,70.424,56.23,16.304,-109.4,-87.354,0
0.96,247.72,249.82,15.588,52.432,66.29,14.706,-86.849,-109.81,0
1,249.52,252.55,16.176,37.72,69.321,14.706,-66.915,-122.97,0
1.04,250.69,255.35,16.765,21.597,70.066,14.706,-41.239,-133.79,0
1.08,251.29,258.11,17.353,8.654,67.164,14.706,-17.891,-138.85,0
1.12,251.43,260.7,17.941,0,62.119,14.706,-0,-140,0
1.16,251.43,263.07,18.529,0,56.519,14.706,-0,-140,0
1.2,251.43,265.22,19.118,0,50.919,14.706,-0,-140,0
1.24,251.43,267.14,19.706,0,45.319,14.706,-0,-140,0
1.28,251.43,268.84,20.294,0,39.719,14.706,-0,-140,0
1.32,251.43,270.32,20.882,0,34.119,14.706,-0,-140,0
1.36,251.43,271.57,21.471,0,28.519,14.706,-0,-140,0
1.4,251.43,272.6,22.059,0,22.919,14.706,-0,-140,0
1.44,251.43,273.41,22.647,0,17.319,14.706,-0,-140,0
1.48,251.43,273.99,23.235,0,11.719,14.706,-0,-140,0
1.52,251.43,274.34,23.824,0,6.1191,14.706,-0,-140,0
1.56,251.43,274.48,24.412,0,0.51913,14.706,-0,-140,0
1.5637,251.43,274.5,25,0,0,0,-0,-140,0
